filepath,xmin,xmax,ymin,ymax
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N176.xml,195,383,320,358
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N169.xml,167,413,208,263
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N164.xml,248,421,121,174
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N147.xml,424,613,548,591
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N17.xml,88,216,507,556
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N178.xml,210,335,289,351
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N19.xml,99,216,367,423
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N20.xml,498,796,729,814
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N172.xml,147,370,133,184
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N155.xml,145,313,167,201
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N170.xml,299,442,337,386
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N190.xml,896,1558,814,969
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N154.xml,106,245,157,196
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N14.xml,1058,1351,660,756
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N191.xml,317,568,319,397
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N158.xml,122,224,268,292
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N201.xml,157,290,193,229
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N139.xml,341,607,954,1011
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N165.xml,186,374,290,335
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N181.xml,361,499,381,432
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N152.xml,265,725,247,347
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N140.xml,346,423,197,221
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N174.xml,315,665,442,531
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N193.xml,274,502,2,59
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N186.xml,464,561,286,344
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N156.xml,49,106,230,249
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N148.xml,244,369,240,293
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N189.xml,178,381,121,181
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N143.xml,115,524,144,296
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N188.xml,587,711,760,832
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N198.xml,214,335,138,169
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N142.xml,66,174,234,259
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N18.xml,373,528,366,408
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N199.xml,45,112,206,255
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N203.xml,765,1258,821,905
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N166.xml,809,1034,246,295
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N202.xml,157,329,260,296
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N197.xml,120,184,103,130
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N184.xml,229,1391,204,660
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N149.xml,186,324,116,148
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N247.xml,641,886,518,578
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N248.xml,288,429,248,281
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N204.xml,94,206,307,334
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N37.xml,77,200,231,290
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N21.xml,244,403,221,258
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N241.xml,251,542,308,385
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N232.xml,286,451,216,258
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N45.xml,107,256,147,180
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N225.xml,775,1142,965,1101
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N211.xml,74,160,149,175
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N214.xml,167,277,189,226
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N238.xml,165,341,129,170
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N235.xml,44,656,128,391
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N217.xml,404,585,429,468
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N229.xml,358,1031,294,540
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N231.xml,581,700,273,319
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N227.xml,626,768,280,359
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N244.xml,335,452,313,343
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N206.xml,121,215,120,147
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N240.xml,164,285,99,137
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N24.xml,151,280,193,224
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N22.xml,493,858,885,967
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N30.xml,928,1219,543,606
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N44.xml,113,257,282,322
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N23.xml,107,201,264,288
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N209.xml,145,319,200,244
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N32.xml,360,500,171,206
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N213.xml,131,209,129,153
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N221.xml,104,209,153,182
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N236.xml,313,380,111,141
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N208.xml,199,274,203,221
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N230.xml,271,484,332,384
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N219.xml,1,300,92,154
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N234.xml,224,307,158,183
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N239.xml,106,263,238,276
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N205.xml,322,479,169,203
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N36.xml,392,517,161,213
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N28.xml,738,1009,654,722
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N246.xml,23,160,261,321
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N218.xml,176,301,212,238
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N242.xml,202,386,190,227
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N35.xml,97,229,338,378
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N4.xml,1326,1830,1464,1607
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N47.xml,161,313,212,259
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N33.xml,856,1218,665,751
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N46.xml,454,797,109,234
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N224.xml,164,272,223,247
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N27.xml,696,1061,546,677
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N233.xml,99,223,20,50
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N34.xml,576,902,487,596
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N207.xml,213,339,280,307
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N245.xml,192,364,279,319
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N40.xml,328,580,208,254
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N3.xml,73,260,381,462
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N223.xml,69,585,79,183
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N42.xml,163,373,253,327
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N212.xml,159,353,115,173
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N31.xml,256,381,233,261
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N222.xml,127,183,122,156
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N210.xml,143,337,210,254
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N237.xml,121,243,163,198
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N216.xml,322,682,300,371
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N43.xml,142,298,281,327
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N25.xml,132,235,169,193
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N38.xml,397,645,590,641
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N220.xml,182,349,238,273
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N226.xml,142,343,253,304
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N215.xml,85,258,390,446
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N59.xml,1238,2468,1012,1269
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N92.xml,113,420,209,260
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N96.xml,137,352,141,186
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N62.xml,289,421,188,232
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N6.xml,858,1122,611,676
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N75.xml,466,740,680,737
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N84.xml,235,349,319,352
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N82.xml,456,651,722,778
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N98.xml,563,675,207,238
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N54.xml,189,299,162,188
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N49.xml,196,352,135,173
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N97.xml,175,290,228,255
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N61.xml,158,350,252,297
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N85.xml,163,302,357,427
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N7.xml,1149,1358,649,702
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N74.xml,161,366,210,250
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N70.xml,186,395,376,430
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N95.xml,23,408,173,391
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N56.xml,302,486,265,303
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N90.xml,53,185,206,232
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N93.xml,385,746,293,434
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N91.xml,239,347,187,211
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N57.xml,211,406,161,202
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N66.xml,163,320,247,280
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N86.xml,448,638,273,338
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N77.xml,361,566,190,297
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N52.xml,234,422,254,294
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N5.xml,938,1173,709,762
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N50.xml,101,397,223,291
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N63.xml,297,422,174,218
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N67.xml,164,336,162,195
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N8.xml,788,1525,1675,1851
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N81.xml,66,174,302,332
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N69.xml,637,840,464,549
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N88.xml,208,370,89,173
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N64.xml,19,94,249,314
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N89.xml,150,378,217,269
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N72.xml,186,325,177,212
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N79.xml,113,277,288,347
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N65.xml,1024,1273,611,680
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N73.xml,124,209,102,130
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N94.xml,63,243,234,274
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N68.xml,319,479,262,295
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N51.xml,383,491,212,248
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N99.xml,158,389,129,193
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N9.xml,142,441,55,167
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N78.xml,146,302,160,196
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N53.xml,217,428,147,188
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N48.xml,156,335,259,303
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N80.xml,248,372,116,144
/content/drive/MyDrive/Automatic Number Plate Reader/notebooks/images/N58.xml,221,430,190,231
